,rar,alpha,gamma,epochs,ticker,perf
67,0.1,0.1,0.9,40,SPY,1.0007561801154752
68,0.1,0.1,0.9,40,VGT,1.0009633831484972
69,0.1,0.1,0.9,40,XLI,1.0014743865690914
70,0.1,0.1,0.9,60,AAPL,1.0016568011032574
71,0.1,0.1,0.9,60,AMZN,0.9971641563005308
72,0.1,0.1,0.9,60,DJIA,1.0011310998138525
73,0.1,0.1,0.9,60,QQQ,0.9977879293038724
74,0.1,0.1,0.9,60,SPY,1.0003282805839957
75,0.1,0.1,0.9,60,VGT,0.9991361104370952
76,0.1,0.1,0.9,60,XLI,1.0012651369106669
77,0.1,0.1,0.9,80,AAPL,1.0045058235299118
78,0.1,0.1,0.9,80,AMZN,0.9981029016691918
79,0.1,0.1,0.9,80,DJIA,0.9999525413720066
80,0.1,0.1,0.9,80,QQQ,0.9977621058496318
81,0.1,0.1,0.9,80,SPY,1.000587882339177
82,0.1,0.1,0.9,80,VGT,1.000230094736676
83,0.1,0.1,0.9,80,XLI,0.999503808792978
84,0.1,0.2,0.7,20,AAPL,0.9989768635154128
85,0.1,0.2,0.7,20,AMZN,1.000552704956647
86,0.1,0.2,0.7,20,DJIA,1.000333263780392
87,0.1,0.2,0.7,20,QQQ,0.9997608058332712
88,0.1,0.2,0.7,20,SPY,1.000218925691997
89,0.1,0.2,0.7,20,VGT,1.0022563371627184
90,0.1,0.2,0.7,20,XLI,0.9994142319714008
91,0.1,0.2,0.7,40,AAPL,1.0009246004140049
92,0.1,0.2,0.7,40,AMZN,1.0036698030328108
93,0.1,0.2,0.7,40,DJIA,1.0004375282154565
94,0.1,0.2,0.7,40,QQQ,0.999840319078846
95,0.1,0.2,0.7,40,SPY,1.00056759200819
96,0.1,0.2,0.7,40,VGT,0.999998201975732
97,0.1,0.2,0.7,40,XLI,1.0013381684104137
98,0.1,0.2,0.7,60,AAPL,1.002737139291813
99,0.1,0.2,0.7,60,AMZN,1.0051208922728254
100,0.1,0.2,0.7,60,DJIA,0.9998890383130116
101,0.1,0.2,0.7,60,QQQ,0.999339980809282
102,0.1,0.2,0.7,60,SPY,0.9996247518940904
103,0.1,0.2,0.7,60,VGT,1.0021537799532525
104,0.1,0.2,0.7,60,XLI,1.0002178779314599
105,0.1,0.2,0.7,80,AAPL,0.999706336268618
106,0.1,0.2,0.7,80,AMZN,0.9947356157930252
107,0.1,0.2,0.7,80,DJIA,1.000741921056975
108,0.1,0.2,0.7,80,QQQ,0.9989165557525722
109,0.1,0.2,0.7,80,SPY,1.0003583871973576
110,0.1,0.2,0.7,80,VGT,1.0005056201350793
111,0.1,0.2,0.7,80,XLI,0.9997551704130709
112,0.1,0.2,0.8,20,AAPL,1.0000121388434493
113,0.1,0.2,0.8,20,AMZN,0.9979400567856278
114,0.1,0.2,0.8,20,DJIA,1.000544512544578
115,0.1,0.2,0.8,20,QQQ,1.0014089435819429
116,0.1,0.2,0.8,20,SPY,1.0002640655275756
117,0.1,0.2,0.8,20,VGT,1.001765310700339
118,0.1,0.2,0.8,20,XLI,1.0006618877388684
119,0.1,0.2,0.8,40,AAPL,1.0013732184642574
120,0.1,0.2,0.8,40,AMZN,0.9971393285035846
121,0.1,0.2,0.8,40,DJIA,1.0000524230070778
122,0.1,0.2,0.8,40,QQQ,0.9986330460621451
123,0.1,0.2,0.8,40,SPY,1.0013139156723598
124,0.1,0.2,0.8,40,VGT,1.0012389085469
125,0.1,0.2,0.8,40,XLI,1.0001513223155962
126,0.1,0.2,0.8,60,AAPL,0.9986633962898176
127,0.1,0.2,0.8,60,AMZN,0.9960952878114616
128,0.1,0.2,0.8,60,DJIA,1.0001043485394951
129,0.1,0.2,0.8,60,QQQ,1.0005684962701915
130,0.1,0.2,0.8,60,SPY,0.9998724134346992
131,0.1,0.2,0.8,60,VGT,0.9994061893930538
132,0.1,0.2,0.8,60,XLI,1.0015895113140798
133,0.1,0.2,0.8,80,AAPL,0.9981407369580588
134,0.1,0.2,0.8,80,AMZN,0.9975975605097972
135,0.1,0.2,0.8,80,DJIA,0.9997340852406223
136,0.1,0.2,0.8,80,QQQ,1.0023479533585966
137,0.1,0.2,0.8,80,SPY,1.0009274102236956
138,0.1,0.2,0.8,80,VGT,1.0005150030287109
139,0.1,0.2,0.8,80,XLI,1.0018675064103766
140,0.1,0.2,0.9,20,AAPL,1.0003787205885548
141,0.1,0.2,0.9,20,AMZN,1.00059102888937
142,0.1,0.2,0.9,20,DJIA,1.0006871362511078
143,0.1,0.2,0.9,20,QQQ,0.9999532347856076
144,0.1,0.2,0.9,20,SPY,1.0009839931833329
145,0.1,0.2,0.9,20,VGT,1.0002851439554084
146,0.1,0.2,0.9,20,XLI,0.999203709595912
147,0.1,0.2,0.9,40,AAPL,1.0025131747984009
148,0.1,0.2,0.9,40,AMZN,0.9965293286309064
149,0.1,0.2,0.9,40,DJIA,1.001610300693799
150,0.1,0.2,0.9,40,QQQ,0.9997711263713178
151,0.1,0.2,0.9,40,SPY,0.999465552380536
152,0.1,0.2,0.9,40,VGT,0.9999636554706204
153,0.1,0.2,0.9,40,XLI,0.9987399539575889
154,0.1,0.2,0.9,60,AAPL,1.00306801244845
155,0.1,0.2,0.9,60,AMZN,1.0002690314612748
156,0.1,0.2,0.9,60,DJIA,1.0004348989124616
157,0.1,0.2,0.9,60,QQQ,1.0002187122763104
158,0.1,0.2,0.9,60,SPY,1.0004524778957908
159,0.1,0.2,0.9,60,VGT,0.9982498939514808
160,0.1,0.2,0.9,60,XLI,0.9998798592524666
161,0.1,0.2,0.9,80,AAPL,1.0027700538696578
162,0.1,0.2,0.9,80,AMZN,0.9993681007371944
163,0.1,0.2,0.9,80,DJIA,0.9993541520943864
164,0.1,0.2,0.9,80,QQQ,0.9985142404853394
165,0.1,0.2,0.9,80,SPY,1.0002418069189976
166,0.1,0.2,0.9,80,VGT,1.000907722950645
167,0.1,0.2,0.9,80,XLI,1.0006288719609198
168,0.1,0.3,0.7,20,AAPL,1.0018855512837817
169,0.1,0.3,0.7,20,AMZN,1.0047230109114986
170,0.1,0.3,0.7,20,DJIA,1.0004743237654459
171,0.1,0.3,0.7,20,QQQ,1.000283421253941
172,0.1,0.3,0.7,20,SPY,1.0004587241644731
173,0.1,0.3,0.7,20,VGT,0.9981356932256384
174,0.1,0.3,0.7,20,XLI,1.0010265398940654
175,0.1,0.3,0.7,40,AAPL,1.0015185730912235
176,0.1,0.3,0.7,40,AMZN,0.9996054290115991
