,date,time,retweet_count,neg,neu,pos,cmpd,IsTradingDay,is_retweet,numTweets,EMA5,EMA10,EMA20,Output
10109,2017-08-27,14.526388888888887,11065.0,0.11199999999999999,0.888,0.0,-0.3404,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10110,2017-08-27,13.859722222222222,19214.0,0.0,1.0,0.0,0.0,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10111,2017-08-27,13.736388888888891,26925.0,0.182,0.818,0.0,-0.5994,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10112,2017-08-27,13.430555555555555,13312.0,0.0,0.746,0.254,0.7568,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10113,2017-08-27,13.255,12499.0,0.062,0.616,0.322,0.8832,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10114,2017-08-27,12.998888888888885,22982.0,0.0,0.81,0.19,0.6007,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10115,2017-08-27,12.431666666666667,10653.0,0.114,0.613,0.273,0.6908,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10116,2017-08-27,12.068055555555556,14243.0,0.0,0.723,0.27699999999999997,0.7845,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10117,2017-08-27,11.751111111111115,14066.0,0.0,0.27399999999999997,0.726,0.8906,0,False,11,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10118,2017-08-26,22.956111111111113,18560.0,0.0,0.664,0.336,0.8439,0,False,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10119,2017-08-26,19.775,17056.0,0.0,0.46,0.54,0.9173,0,False,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10120,2017-08-26,11.871944444444445,14595.0,0.07200000000000001,0.746,0.182,0.565,0,False,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10121,2017-08-26,11.545555555555556,11097.0,0.0,0.654,0.34600000000000003,0.8901,0,False,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10122,2017-08-26,11.397222222222224,6879.0,0.24600000000000002,0.67,0.085,-0.5574,0,True,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10123,2017-08-26,11.375555555555556,4631.0,0.0,1.0,0.0,0.0,0,True,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10124,2017-08-26,11.365,8828.0,0.0,0.552,0.44799999999999995,0.807,0,False,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10125,2017-08-26,11.287777777777777,3682.0,0.095,0.474,0.431,0.7783,0,True,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10126,2017-08-26,4.7908333333333335,12145.0,0.0,0.8590000000000001,0.141,0.5081,0,False,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10127,2017-08-26,2.0091666666666668,35477.0,0.0,0.6579999999999999,0.342,0.8553,0,False,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10128,2017-08-26,1.800277777777778,1096.0,0.177,0.823,0.0,-0.6249,0,True,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10129,2017-08-26,1.7738888888888888,29500.0,0.168,0.728,0.10300000000000001,-0.4003,0,False,12,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10130,2017-08-25,22.203055555555554,21047.0,0.0,0.695,0.305,0.831,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10131,2017-08-25,21.202222222222225,11585.0,0.0,0.875,0.125,0.5093,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10132,2017-08-25,21.05305555555556,10741.0,0.0,0.7609999999999999,0.239,0.7861,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10133,2017-08-25,19.313611111111108,12935.0,0.0,0.8370000000000001,0.163,0.5106,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10134,2017-08-25,16.0425,8523.0,0.0,1.0,0.0,0.0,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10135,2017-08-25,15.777777777777779,12804.0,0.0,1.0,0.0,0.0,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
